Fold,Accuracy,Sensitivity,Specificity,Precision,F1_Score,AUC,RMSE,Rules,Radius,Threshold
1,0.793103448275862,0.769230769230769,0.8125,0.769230769230769,0.769230769230769,0.793269230769231,0.595182532072847,6,0.6,0.514725812670599
2,0.933333333333333,0.846153846153846,1,1,0.916666666666667,0.918552036199095,0.327733026885533,8,0.6,0.403844745593648
3,0.833333333333333,0.642857142857143,1,1,0.782608695652174,0.892857142857143,0.362215959072408,7,0.7,0.709841002094476
4,0.766666666666667,0.714285714285714,0.8125,0.769230769230769,0.740740740740741,0.772321428571429,0.44647577739955,8,0.6,0.379330232625307
5,0.8,0.714285714285714,0.875,0.833333333333333,0.769230769230769,0.776785714285714,0.466917665721215,6,0.7,0.508772823116397
6,0.633333333333333,0.857142857142857,0.4375,0.571428571428571,0.685714285714286,0.714285714285714,0.524793303454032,6,0.7,0.392999678827406
7,0.733333333333333,0.785714285714286,0.6875,0.6875,0.733333333333333,0.84375,0.544649268054436,6,0.6,0.47132635318553
8,0.766666666666667,0.5,1,1,0.666666666666667,0.736607142857143,0.559765632656504,6,0.7,0.599994976071478
9,0.833333333333333,0.785714285714286,0.875,0.846153846153846,0.814814814814815,0.799107142857143,0.428866765123203,6,0.7,0.435928573656213
10,0.966666666666667,0.928571428571429,1,1,0.962962962962963,0.941964285714286,3.74287067626034,6,0.7,0.719197857183821
0,0.805977011494253,0.754395604395604,0.85,0.847687728937729,0.784196970501318,0.81894998383969,0.799947060670007,6.5,NaN,NaN
